"id" "text" "screenname" "isretweet" "retweeted" "created"
"1" "537032714558255104" "Dear @Google: We're Google employees and users standing together for Title II net neutrality, will you stand with us? http://t.co/czWjZM5nx8" "just1jamese" FALSE FALSE 1416873551
"2" "537032575538061312" "Dear @Google: We're Google employees and users standing together for Title II net neutrality, will you stand with us? http://t.co/MNk1Wb9MZE" "epic20o8" FALSE FALSE 1416873518
"3" "537032438313410562" "Ubuntu security key fix #ubuntu #security #u2f http://t.co/SPFaFDZnwt @Yubico U2F Key is great for @google security." "ihaveagadget" FALSE FALSE 1416873485
"4" "537032366351347712" "RT @ValaAfshar: Popular social networks among Millenials:

1 @facebook
2 @instagram
3 @Snapchat
4 @twitter 
5 @google + 

http://t.co/yC5yG…" "lloydpoku" TRUE FALSE 1416873468
"5" "537032333560647681" "RT @ValaAfshar: Popular social networks among Millenials:

1 @facebook
2 @instagram
3 @Snapchat
4 @twitter 
5 @google + 

http://t.co/yC5yG…" "yesimkaradagg" TRUE FALSE 1416873460
"6" "537032180233666560" ".@Google has added more shopping details for #mobile users as Black Friday draws near: http://t.co/0FZTE5QGyL" "sengineland" FALSE FALSE 1416873424
"7" "537032098360471552" "Dear @Google: We're Google employees and users standing together for Title II net neutrality, will you stand with us? http://t.co/8XwQSYyLry" "LAndrewsPatt" FALSE FALSE 1416873404
"8" "537032049048424448" "Update #lollipop from @google  has arrived bringing my #nexus4 to a standstill. I want to go back to the past! #LollipopUpdate" "AntonioDeVecchi" FALSE FALSE 1416873392
"9" "537032015632400384" "RT @eileen_gunn: Someone has changed the description of science-fiction writers in @google's bio summaries from \"author\" to \"fictioneer.\" V…" "missingvolume" TRUE FALSE 1416873384
"10" "537031975152779264" "Dear @Google:We're Google employees and users standing together for Title II net neutrality, will you stand with us? http://t.co/5dELO5gpq8" "Pnisperoski" FALSE FALSE 1416873375
