"id" "text" "screenname" "isretweet" "retweeted" "created"
"1" "537395127522566144" "@google v. @Oracle #java fight going to @USSupremeCourt http://t.co/GYW9wkwMxE Huge stakes for software industry. Thx @dbmoore" "johnrrymer" FALSE FALSE 1416959957
"2" "537394643319521280" "@mcavage @Oracle Wow! Congrats, Mark! And congrats @oracle - he's one hell of a catch!" "DeirdreS" FALSE FALSE 1416959841
"3" "537389890519199746" "RT @HitachiOracle: From the #FastDataPanel14 to #NC: @Oracle's very own @PaulSonderegger talking about his specialty- #BigData http://t.co/…" "regnault" TRUE FALSE 1416958708
"4" "537387788032036864" "The Internet of Things will and is changing your company not just your products - http://t.co/QyQwF3oShb #IoT via @Oracle" "SoftwareONE_US" FALSE FALSE 1416958207
"5" "537385286012252162" "RT @Reverb: RT @Visually: Movember is a lot like good data. Find out how: http://t.co/3L8qzAClOZ via @oracle http://t.co/0nKewNBNQM #Insigh…" "DrGailB" TRUE FALSE 1416957610
"6" "537383868236451840" ".@Priceline interview about @opentable and #hotel #saas products, no plans to become the next @Oracle http://t.co/dGOknFCzor #travel" "sweetcarolinepb" FALSE FALSE 1416957272
"7" "537383621280403456" "@Oracle's @MegBear on lessons learned from #Pivotcon w/ insights from @briansolis #CX #social" "pewevyjalif" FALSE FALSE 1416957214
"8" "537382916574416896" "RT @AppsRunTheCloud: Cloud Revenues of: 
@Saleseforce
@SAPCloud
@Oracle
@Concur
@Workday 
@servicenow 
@NetSuite 
@UltimateHCM 
@ConstantCo…" "jcorsello" TRUE FALSE 1416957046
"9" "537380715516952576" "A Conversation with Mark V. Hurd as Interviewed by @rwang0 | His vision for #ensw [video] @constellationrg @oracle http://t.co/S7J2aw5Pbg" "drnatalie" FALSE FALSE 1416956521
"10" "537379533117485056" "RT @JSaylorIII: Don't tell your DBA. But you can replace @Oracle #Streams -&gt;#SharePlex http://t.co/6Eb3jg873a for enterprise-class replicat…" "jsurr" TRUE FALSE 1416956239
"11" "537368099637305344" "RT @PeterSMagnusson: Awesome to have @mcavage join the @Oracle Public #Cloud team, welcome aboard!" "mcavage" TRUE FALSE 1416953513
"12" "537366487871156224" "Awesome to have @mcavage join the @Oracle Public #Cloud team, welcome aboard!" "PeterSMagnusson" FALSE FALSE 1416953129
"13" "537366424734662658" "@Oracle moving quickly toward #digital disruption, \"it’s about a new connected consumer network\" via @Forbes http://t.co/kBpJaQ9oPQ @furrier" "mintigo" FALSE FALSE 1416953114
"14" "537363381960069120" "RT @FishbowlE20: Join Fishbowl and @oracle on Dec. 4 for a webinar, \"Innovation in Managing the Chaos of Everyday Project Management\"! http…" "fishbowltim" TRUE FALSE 1416952388
"15" "537357570189438976" "Dressing For Dinner With @Oracle Tuxedo: http://t.co/ywjLAgp48i http://t.co/D4JJrFQbn7" "AppDynamics" FALSE FALSE 1416951003
"16" "537356598256357376" "Stay plugged in, without being tied down. @Oracle #Mobile. Simply Connected. [#video] http://t.co/QAI9ahkJp7 http://t.co/yfD4Ah6Wt7" "mazapigul" FALSE FALSE 1416950771
"17" "537355311665803264" "@oelkady @marketwiredfeed great to see you back in the press post @oracle Osama!" "layereddelay" FALSE FALSE 1416950464
"18" "537355072884465665" "RT @Reverb: RT @Visually: Movember is a lot like good data. Find out how: http://t.co/3L8qzAClOZ via @oracle http://t.co/0nKewNBNQM #Insigh…" "Moonalice" TRUE FALSE 1416950407
"19" "537353289143451648" "RT @LaurentDechaux: .@Oracle fight back in dominance for #Cloud @IQERP article http://t.co/xu9XecjMr0" "mlinglart" TRUE FALSE 1416949982
"20" "537352332091326465" "RT @LaurentDechaux: Want to build your career @Oracle ? Oracle is hiring ! Visit our website now &gt;&gt; http://t.co/sNuER1WnZq #Job #OracleTale…" "VirginieJollois" TRUE FALSE 1416949754
"21" "537350219181326336" "Grab a copy of our latest @Oracle Pulse Report detailing shopper behavior this holiday season: http://t.co/YBYIbKOoBg" "Foelmaouchi" FALSE FALSE 1416949250
"22" "537350143293399040" "RT @JPLasida: @Team_Penske in NC @Oracle @PaulSonderegger w Team Engineer Carlos Gutierrez talking Extreme #BigData &amp; #Innovation http://t.…" "HitachiOracle" TRUE FALSE 1416949232
"23" "537347996677971968" "Experienced with @Oracle #BusinessIntelligence? #Hiring a #OBIEE Functional #Analyst in #Bedford, #MA - http://t.co/Y0sRH3b50R" "AtlanticAI" FALSE FALSE 1416948720
"24" "537346748763475968" "RT @oraclepartners: Have you heard of the @Oracle Marketing AppCloud? http://t.co/N6ES9LyPm2 #OPNCloudConnection" "phanono" TRUE FALSE 1416948422
"25" "537336978422136832" "NEWS: @cloudwordsinc Announces Native Integration with @Oracle WebCenter http://t.co/VvtjHApUnj" "adotas" FALSE FALSE 1416946093
"26" "537335319302250496" "RT @mcavage: Excited to join @oracle on a new public #cloud mission; building a new team, and offices in SF, Berkeley/Oakland. Hit me up if…" "elrickvm" TRUE FALSE 1416945697
"27" "537334528545542144" "RT @mcavage: Excited to join @oracle on a new public #cloud mission; building a new team, and offices in SF, Berkeley/Oakland. Hit me up if…" "cwvhogue" TRUE FALSE 1416945509
"28" "537332568773754880" "RT @mcavage: Excited to join @oracle on a new public #cloud mission; building a new team, and offices in SF, Berkeley/Oakland. Hit me up if…" "jimpick" TRUE FALSE 1416945042
"29" "537332139327361025" "@mcavage Congrats! And especially congrats to @oracle for snagging you :)
If you are ever in Oakland, come have lunch with the @npmjs crew." "izs" FALSE FALSE 1416944939
"30" "537331837857591296" "RT @mcavage: Excited to join @oracle on a new public #cloud mission; building a new team, and offices in SF, Berkeley/Oakland. Hit me up if…" "izs" TRUE FALSE 1416944867
"31" "537323280328167424" "RT @UKOUG: Thanks to our Apps14 sponsors: @Capgemini @EiSTechnologies @inoapps_news @L3CLLP @Oracle @QubixGlobal #ukoug_apps14 http://t.co/…" "fadevrel" TRUE FALSE 1416942827
"32" "537321758698012673" "RT @Oracle: How are #mobile purchases playing a role in #holidayshopping this year? [#STUDY] http://t.co/DgXZBDSFS4 http://t.co/LqxKeRxCWC" "baltazar10juan" TRUE FALSE 1416942464
"33" "537321084698521602" "Want to realize more savings? Find out how @Oracle #Procurement #Cloud enables you to collaborate smarter #ERP http://t.co/BDts7RlOk4" "OracleFMS" FALSE FALSE 1416942304
"34" "537319692210565120" "Thanks to our Apps14 sponsors: @Capgemini @EiSTechnologies @inoapps_news @L3CLLP @Oracle @QubixGlobal #ukoug_apps14 http://t.co/bSPZGdHnec" "UKOUG" FALSE FALSE 1416941972
"35" "537319188801785856" "I set my preferred language to English on the @Oracle support website. They send me an email about Support Essentials, in Spanish." "marksregard" FALSE FALSE 1416941852
"36" "537319011147472896" "@Oracle CEO Mark Hurd: \"Make HR A Real-Time Application\" http://t.co/pu7JUUm4p2" "oraclepartners" FALSE FALSE 1416941809
"37" "537318115127091200" "RT @Oracle: How are #mobile purchases playing a role in #holidayshopping this year? [#STUDY] http://t.co/DgXZBDSFS4 http://t.co/LqxKeRxCWC" "InnovationAfric" TRUE FALSE 1416941596
"38" "537316889199144960" "@oracle just installed java8 for MacBook Pro. Shows I have the correct current updated version, keep getting popups that I do not. #Help" "eedwards64" FALSE FALSE 1416941303
"39" "537315395091185664" "RT @mcavage: Excited to join @oracle on a new public #cloud mission; building a new team, and offices in SF, Berkeley/Oakland. Hit me up if…" "veveg" TRUE FALSE 1416940947
"40" "537314550647758848" "MT - We are really building a cloud empire. @mcavage Excited to join @oracle on a new public #cloud mission; building a new team..." "jessicamoore1" FALSE FALSE 1416940746
"41" "537314459941748736" "RT @mcavage: Excited to join @oracle on a new public #cloud mission; building a new team, and offices in SF, Berkeley/Oakland. Hit me up if…" "YunongX" TRUE FALSE 1416940724
"42" "537314092709867521" "How do you differentiate good #customerservice from excellent? 
@Oracle 
http://t.co/0BaDVldrDx" "ForbesInsights" FALSE FALSE 1416940637
"43" "537313144763207680" "RT @Laurent_Ducros: Don't miss #FinWebcast Dec 11 why @SoundCloud  chose @Oracle #ERP #Cloud to drive sustainable growth. http://t.co/kcfoI…" "oraclerp" TRUE FALSE 1416940411
"44" "537312429298835456" "Excited to join @oracle on a new public #cloud mission; building a new team, and offices in SF, Berkeley/Oakland. Hit me up if interested!" "mcavage" FALSE FALSE 1416940240
"45" "537311408833052672" "RT @PrimitiveLogic: Oracle Day is approaching Dec 4th. Register Today! @Oracle @oraclewebcenter http://t.co/3YsgP7rUu5" "oraclerp" TRUE FALSE 1416939997
"46" "537311151810674688" "A Conversation with Mark V. Hurd as Interviewed by @rwang0 | His vision for #ensw [video] https://t.co/FAkja2Mqmt @constellationrg @oracle" "kiwigate" FALSE FALSE 1416939936
"47" "537310316132966400" "RT @holgermu: A Conversation with Mark V. Hurd as Interviewed by @rwang0 | His vision for #ensw [video] https://t.co/Qnk0nOZ5GV @constellat…" "adamfrank82" TRUE FALSE 1416939736
"48" "537309997378461696" "RT @PublicSectorUT: SALT LAKE CITY, UT IT Analyst II / Oracle DBA https://t.co/X48a8uo5f6 @GovernmentJobs @ORACLE @SLCMayorsOffice @saltlak…" "GovernmentJobs" TRUE FALSE 1416939660
"49" "537309908970909696" "SALT LAKE CITY, UT IT Analyst II / Oracle DBA https://t.co/X48a8uo5f6 @GovernmentJobs @ORACLE @SLCMayorsOffice @saltlakechamber" "PublicSectorUT" FALSE FALSE 1416939639
"50" "537308937083568128" "RT @Oracle: How are #mobile purchases playing a role in #holidayshopping this year? [#STUDY] http://t.co/DgXZBDSFS4 http://t.co/LqxKeRxCWC" "alicia_cappelli" TRUE FALSE 1416939407
"51" "537308616630763521" "RT @Oracle: How are #mobile purchases playing a role in #holidayshopping this year? [#STUDY] http://t.co/DgXZBDSFS4 http://t.co/LqxKeRxCWC" "BOscherwitz" TRUE FALSE 1416939331
"52" "537308555796176896" "Buy @Oracle Database From @Verizon and Save! By @VerizonAnne - http://t.co/MbVuahdrDF" "MoserMaCH" FALSE FALSE 1416939317
"53" "537308511517282304" "RT @Reverb: RT @Visually: Movember is a lot like good data. Find out how: http://t.co/3L8qzAClOZ via @oracle http://t.co/0nKewNBNQM #Insigh…" "ZAGrrl" TRUE FALSE 1416939306
"54" "537308469972697090" "RT @Oracle: How are #mobile purchases playing a role in #holidayshopping this year? [#STUDY] http://t.co/DgXZBDSFS4 http://t.co/LqxKeRxCWC" "Responsys" TRUE FALSE 1416939296
"55" "537308255320809472" "@Oracle fight back in dominance for #Cloud @IQERP article http://t.co/4bIjT4bGqT" "ORCLBERNARD" FALSE FALSE 1416939245
"56" "537307810480943104" "RT @EngineRoomTech: .@Oracle is investing heavily into a marketing cloud to contend with #AWS and #Apple. @furrier lays it out - http://t.c…" "accusoftinfoway" TRUE FALSE 1416939139
"57" "537307733439959041" "@KRTY @gstkrty953 saw @BobSeger live @Oracle 12/22/11 so it's been less then 18 years since he's been here" "wardchris755" FALSE FALSE 1416939121
"58" "537307428686032896" "Mark Hurd interviewed by @rwang0 #CCE2014 - his vision for #ensw [video] https://t.co/KbDBIGegrn @constellationrg @oracle" "Steve_Lockstep" FALSE FALSE 1416939048
"59" "537305341474897920" ".@Oracle is investing heavily into a marketing cloud to contend with #AWS and #Apple. @furrier lays it out - http://t.co/KQAxJNvuqW" "EngineRoomTech" FALSE FALSE 1416938550
"60" "537302775256715264" "RT @holgermu: A Conversation with Mark V. Hurd as Interviewed by @rwang0 | His vision for #ensw [video] https://t.co/Qnk0nOZ5GV @constellat…" "ZacharyJeans" TRUE FALSE 1416937938
"61" "537302526882615296" "A Conversation with Mark V. Hurd as Interviewed by @rwang0 | His vision for #ensw [video] https://t.co/Qnk0nOZ5GV @constellationrg @oracle" "holgermu" FALSE FALSE 1416937879
"62" "537302342639439873" "RT @Oracle: How are #mobile purchases playing a role in #holidayshopping this year? [#STUDY] http://t.co/DgXZBDSFS4 http://t.co/LqxKeRxCWC" "vanessa_zito" TRUE FALSE 1416937835
"63" "537296055675531265" "RT @Oracle: How are #mobile purchases playing a role in #holidayshopping this year? [#STUDY] http://t.co/DgXZBDSFS4 http://t.co/LqxKeRxCWC" "knowles_pro" TRUE FALSE 1416936336
"64" "537294786890596354" "RT @mintigo: “Mintigo's solution on our @Oracle
Marketing #Cloud helps deliver #predictivemarketing and lead
scoring\" -@jstetic http://t.co…" "slocummarketing" TRUE FALSE 1416936034
"65" "537294491657711616" "RT @soacommunity: SOA Suite 12c hands-on training free on-demand training November 26 2014 https://t.co/Ux2pTovRZU by @OTNArchBeat @OracleS…" "dschmied" TRUE FALSE 1416935963
"66" "537294450079580160" "RT @Oracle: How are #mobile purchases playing a role in #holidayshopping this year? [#STUDY] http://t.co/DgXZBDSFS4 http://t.co/LqxKeRxCWC" "LScatorchia" TRUE FALSE 1416935954
"67" "537294285667061760" "Believe it or not, #Movember is a lot like good data. via @Oracle - http://t.co/3EwMJ1XtUO http://t.co/IUWvLkZhTY" "mazapigul" FALSE FALSE 1416935914
"68" "537294165642469377" "@Infosys receives second highest scores for @Oracle Application Management Service Providers, Worldwide: http://t.co/sDMJg0jQjg" "oraclepartners" FALSE FALSE 1416935886
"69" "537294008369053697" "RT @Oracle: How are #mobile purchases playing a role in #holidayshopping this year? [#STUDY] http://t.co/DgXZBDSFS4 http://t.co/LqxKeRxCWC" "mquano" TRUE FALSE 1416935848
"70" "537293905218510848" "RT @Oracle: How are #mobile purchases playing a role in #holidayshopping this year? [#STUDY] http://t.co/DgXZBDSFS4 http://t.co/LqxKeRxCWC" "thehrisworld" TRUE FALSE 1416935824
"71" "537293523440369664" "“Mintigo's solution on our @Oracle
Marketing #Cloud helps deliver #predictivemarketing and lead
scoring\" -@jstetic http://t.co/E1MfBhasWa" "mintigo" FALSE FALSE 1416935733
"72" "537293418624720896" "A Conversation with Mark V. Hurd as Interviewed by @rwang0 | His vision for #ensw [video] https://t.co/josHgE4xGk @constellationrg @oracle" "VaughanTA" FALSE FALSE 1416935708
"73" "537292573770268673" "@Oracle #bisymp14 Won a drone on your stand while playing a game on the @oculus How awesome is that!! #excited" "MrKuposaidee" FALSE FALSE 1416935506
"74" "537291875846086656" "RT @Oracle: How are #mobile purchases playing a role in #holidayshopping this year? [#STUDY] http://t.co/DgXZBDSFS4 http://t.co/LqxKeRxCWC" "ManavSubodh" TRUE FALSE 1416935340
"75" "537291658719535104" "RT @Oracle: How are #mobile purchases playing a role in #holidayshopping this year? [#STUDY] http://t.co/DgXZBDSFS4 http://t.co/LqxKeRxCWC" "BenCroitor" TRUE FALSE 1416935288
"76" "537291557389365248" "@Infosys receives second highest scores for @Oracle Application Management Service Providers, Worldwide: http://t.co/sMDH96MJqh" "oraclepartners" FALSE FALSE 1416935264
